Reservoir Name,Latitude,Longitude
Lim-Bhogavo-I,22.547718627857783, 71.64851112723308
Lim-Bhogavo-II,22.56652094161988, 71.8159133381895
LOWER SAGILERU ANI CUT,14.2017,79.0209
Machchhanala,22.8595,73.7675
Machchhu - I,22.446685863952514, 70.95883345713679
Machchhu-II,22.75681019549557, 70.87088345687428
Machchhu-III,22.87453335720596, 70.81389188061036
Machhundri,20.986038705792897, 70.93408686253711
MADDIGEDDA PROJECT,17.495076368944, 82.01482772564307
MADDUVALASA PROJECT,18.5806426,83.6236074
Madhuvanti,21.261286015205883, 70.49530933001242
Malan,21.232844571979303, 71.62964778272364
Malgadh,24.2641687,72.1472005
MALLIMADUGU,17.2983777,80.1456496
Malpara,21.8538712,71.5453177
MARALA RESERVOIR,14.2913378,77.9394133
Mathal,23.430979341360548, 69.17091486136957
Mazam,36.83017290000001,10.1780287
MEHADRIGADD RESERVOIR,17.781236,83.18097759999999
Meshwo,23.68687207539104, 73.39822031387675
MID PENNAR RESERVOIR,14.8715122,77.38699
Mitti,23.337039100911603, 68.83687668633608
Moj,21.845462823577545, 70.28460494218314
MOPADU RESERVOIR PROJECT,15.1159835,79.467576
Morshal,21.2764,78.0572
Mota-Gujariya,21.4899567,70.74658289999999
Motisar,20.9862759,71.09100339999999
Mukteshwar,29.4604149,79.6558242
MUNIYERU PROJECT, 17.0833,80.1667
Munjiasar,21.0232142,71.2926178
MUSURIMALLI,17.389821816824448, 81.76667863540783
MYLAVARAM(PENNAR) RESERVOIR,16.7560489,80.6414006
NAGARJUNA SAGAR,16.5759672,79.3124022
Nara,31.549887304512957, 76.04049678350734
NARAYANAPURAM ANICUT,18.3833,83.8000
NELLORE ANICUT,14.4425987,79.98645599999999
NELLORE TANK,14.4425987,79.98645599999999
Nimbmani,17.23442976211487, 79.27239986790026
Niruna,23.60902,69.491913
NTR JALASAYAM,13.2873612,79.1301573
NTR RESERVOIR,17.9400415,82.7654225
Nyari - I,22.237469670014715, 70.712398146163
Nyari-II,22.361704037308037, 70.6759499711558
Nyka,22.66393322646502, 71.46589256854459
OWK RESERVOIR,15.1850442,78.0851607
Ozat-II,21.384067202970385, 70.58186480365498
Ozat-Weir,21.46704367896128, 70.30417457767781
Ozat-Weir(Vanthali),21.4673722,70.3029835
PAIDIPALEM BALANCING RESERVOIR,14.704008620826855, 78.18822929661161
PALERU BITRAGUNTA ANICUT,14.7949897,79.9584397
PAMPA RESERVOIR,17.2873006,82.4075192
Panam,23.029974818563854, 73.7647840111883
Patadungari,22.727104790033994, 74.29350501417315
PATHIKONDA RESERVOIR,13.2001765,78.64838429999999
PEDDAGEDDA RESERVOIR,18.462609749296096, 83.1039479524634
PEDDERU RESERVOIR,17.89550576634225, 82.69472579349579
PEDDERU RESERVOIR PROJECT,14.102568554327682, 78.37007749996846
PENNA AHOBILAM BALANCING RESERVOIR,14.860553,77.3058772
PENNAR KUMUDWATHI PROJECT (ANICUT),13.82945,77.47056
Phadangbeti,22.3027,70.8022
Phodarness,21.589320041290485, 69.74048674274648
Phophal - I,21.862719556351546, 70.52203843087666
KHAJURADA,21.88573566200977, 70.40158372765988
Pigut,21.567887311804057, 73.15959951099539
PINCHA PROJECT,13.909456298363713, 79.00006761983295
Pingli,19.211879,76.8591235
PRAKASAM BARRAGE,16.5020777,80.603335
Prempara,21.2951845,70.7012348
PULICHINTHALA PROJECT,16.770833,80.05666699999999
Puna,22.467130749779955, 70.06455576270116
Raidy,20.984044725720384, 71.31330357486667
RAIWADA RESERVOIR,18.008424475402254, 82.96565984261998
Rajawal,27.7768501,77.8495921
RALLAPADU RESERVOIR,15.0460843,79.7035265
RAMA THIRTHAM,18.1678708,83.4950236
Rami,22.079915250000166, 74.00437629744572
Rana Khirasara,21.72546987452143, 69.87602868660899
Ranghola,21.7628822,71.6747513
Rangmati,22.7324173,92.29851339999999
Raval,21.88669240197028, 69.40326191079075
Rojki,27.4474259,77.05500719999999
Rudramata,23.3799684,69.7066974
Ruparel,22.48837790632176, 70.0543941195026
Rupavati,21.5033684,71.6391527
Sabali,21.36028,70.32695
Nayka Dam,22.665546787723702, 71.46427889361583,
Sanandro,23.0935,70.5887
SANGAM ANICUT / BARRGE,14.57522439939255, 79.74793919600995
Sani,22.04128789713139, 69.48753397589816
Sankroli,21.65626146710393, 70.77349661078446
Sapada,46.5660359,12.6859575
Saran,25.8559698,84.8567932
SARVARAJA SAGAR,14.532610039692905, 78.45649433946329
SARVEPALLI RESERVOIR,14.3124036,79.98081429999999
Sasoi,22.3355977965006, 69.95746105436368
Shedhabhadthari,22.006318944108667, 69.48622392322856
Shell-Dedumal,21.66491466318091, 71.32183302493635
Shetrunji,21.38834631366483,71.999012843716
Shingoda,21.026812349465246, 70.78523261362287
SILERU (GUNTAWADA) RESERVOIR,18.0584877,82.03254009999999
Sindhani,21.96277607083568, 69.34104396480522
Sipu,25.137616306797423, 72.22160787487451
SIR AURTHUR COTTON BARRAGE,16.9369301,81.7524342
Sodvadar,21.8507187,70.3719915
SOMASILA RESERVOIR,14.4909383,79.2112769
Sonmati,26.4933553,86.33007049999999
Sorthi,21.939154984358645, 69.59678868010369
SRINIVASAPURAM RESERVOIR (HNSS),14.766649873747268, 79.11607637239895
SRISAILAM R,16.0737457,78.8726842
SUBBAREDDY SAGAR,17.3349577,82.2026291
SUBSIDIARY RESERVOIR -I,14.8472,78.7278
SUBSIDIARY RESERVOIR -II,14.7902,78.7986
Sukhbhadar,22.34534966697248, 71.53891056662314
Sukhi,22.439152259433705, 73.88260771080617
SUNKESULA BARRAGE,15.8800258,77.8306977
Surajwadi,21.199306639366863, 71.36977312426406
SUREMPALEM RESERVOIR,17.081386,82.05705789999999
Survo,21.713496696603514, 70.72800635311393
Rapar,23.6011340253744, 70.50769864095025
SWARNAMUKHI BARRAGE CUM BRIDGE,13.837656793942244, 79.7025642533824
TAMMILERU RESERVOIR,16.7393362497026, 81.08104132450538
TANDAVA RESERVOIR,17.6489319,82.45902819999999
Tappar,23.0124752,69.6572032
THATIPUDI RESERVOIR,18.1722115,83.1913807
Thebi,21.623602887136748, 71.21334133776725
THIMMAPURAM SR1,17.03291765283618, 82.2467369052402
THOTAPALLI REGULATOR / BARRAGE,18.78614060343783, 83.4961903727235
Triveni Thanga,22.315547331169952, 71.09958874086765
Uben,21.63617064639327, 70.6312814789197
Ukai,21.2341558,73.5785523
Umaria,23.5309797,80.82947469999999
Umiyasagar,21.882064652246548, 70.09691769714694
Und-I,16.5860043,81.46728519999999
Und-II,22.16284184831384, 70.39347941953888
Und-III,22.166650433245753, 70.39488669545435
UPPER PENNAR,14.719831602026273, 78.75780900745244
UPPER SAGILERU,18.282819354682466, 82.00441820463482
Utavali,20.40904152053351, 76.69131698006326
Vachhapari,22.047508657764045, 70.88155740033656
Vadi,22.217394705767173, 70.53356156944857
VAMIKONDA SAGAR RESERVOIR,16.4835506,79.27577060000002
Vansal,22.478364114773264, 71.68858859672146
VARADARAJASWAMY GUDI PROJECT,15.9698369,78.6462088
VARAHA RESERVOIR,17.496394300488397, 82.73841601113462
Varansi,25.3176452,82.9739144
Vartu-I,21.925045401501162, 69.70389271079178
Vartu-II,21.9242656,69.70420709999999
VATTIGEDDA RESERVOIR,18.843586035310892, 83.60005593093506
VEERA RAGHAVANI KOTA ANICUT,15.106589474246567, 79.79466266444537
VELIGALLU RESERVOIR,14.0438017,78.4449285
VELOGODU BALANCING RESERVOIR,15.7349984,78.6171753
VENGALRAYA SAGARAM,18.628980850274907, 83.21036749351218
Venu-II,21.787273912610143, 70.17206653700195
Veradi,21.95652874374501, 69.87389329544847
Veradi-II,21.98435601308772, 69.81473199359674
Veri,22.00091291836646, 70.80430166973115
Ver-II,21.10539054515885, 73.38950396563527
Vijarkhi,22.40508,70.1991616
VIJAYARAI ANICUT,16.8120897,81.03267950000001
Vrajmi,21.067265272783033, 70.29725873816764
Waidy,23.510253473561754, 73.5027960107636
Wanakbori,22.9511649,73.42096769999999
WNKL.-BHEY,22.700598692002387, 73.98644504907612
Vodisang,22.280588476873437, 70.36289567161428
YELERU RESERVOIR,17.3281998,82.06795199999999
YELLANUR SR2,14.7000169,78.0733647
YERRAKALVA RESERVOIR,17.144450029673077, 81.22249966397575
YOGI VEMANA (MADDILERU) RESERVOIR,14.359731706446196, 78.0513808913066
ZURRERU RESERVOIR,15.328329062537843, 78.13233286873923
Bagad,21.293172676361017, 71.89579718144414
BHAMA ASKHED,18.8423858,73.7014444
CHANDAN DAM,24.6666335,86.9426198
CHASKAMAN,18.9739417,73.762495
DARNA DAM,19.761978,73.737188
DIMBHE DAM,19.114674,73.7221
DONKARAYI,17.9296363,81.7992057
GETALSUD,23.4321667,85.5457689
HARIHARJHORE,21.090688725651116, 84.0592507966922
JAISAMAND,24.2411105,73.9499426
JAWAI DAM,25.0892718,73.1485981
KADDAM (K.N.R.),19.145130185297013, 78.74182624797565
KANDALERU,14.347401,79.59405439999999
KHANDONG,25.515834997041686, 92.6405666289491
MANDIRA DAM,22.2686614,84.6569434
MAUDAHA,25.6861784,80.1154808
MEJA,25.395714876028823, 74.54024291438412
NANAK SAGAR,28.96109302769416, 79.84644087994634
PANSHET(TANAJISAGAR),18.3779339,73.6135141
PRIYADARSHINI JURALA,16.3375,77.704444
RANGAWAN,26.1707516,78.5944718
SATHANUR,13.1222276,77.63056689999999
SIRSI,14.6155109,74.8347096
SURYA,19.698015090261418, 72.85069883494002,
TANDULA,20.7094272937216, 81.22275775686019
TILLARI,15.761031214322038, 74.1212800259971
UMRONG,25.515204929246206, 92.72645048299268
VEER DAM,18.1362072,74.06819879999999
